Rank on IMDB,Title,Budget,Gross Worldwide,Genres,Running Time
79,Avengers: Endgame,"$356,000,000","$2,799,439,100",Action Adventure Drama Sci-Fi,3 hr 1 min
80,Princess Mononoke,,"$169,971,552",See more details at IMDbPro,Action Adventure Animation Fantasy
81,Good Will Hunting,,"$225,933,435",See more details at IMDbPro,Drama Romance
82,Once Upon a Time in America,,"$5,474,090",See more details at IMDbPro,Crime Drama
83,Your Name.,,"$382,238,181",See more details at IMDbPro,Animation Drama Fantasy Romance
84,3 Idiots,,"$60,262,836",See more details at IMDbPro,Comedy Drama
85,Singin' in the Rain,,"$2,000,288",,See more details at IMDbPro
86,High and Low,,"$46,808",,
87,Requiem for a Dream,,"$7,390,108",See more details at IMDbPro,Drama
88,Capernaum,,"$64,417,003",See more details at IMDbPro,Drama
89,Toy Story 3,"$200,000,000","$1,067,316,101",See more details at IMDbPro,Adventure Animation Comedy Family Fantasy
90,Star Wars: Episode VI - Return of the Jedi,"$32,500,000","$475,106,177",Action Adventure Fantasy Sci-Fi,2 hr 11 min
91,Come and See,,"$20,929,648",,
92,Eternal Sunshine of the Spotless Mind,"$20,000,000","$74,036,715",Drama Romance Sci-Fi,1 hr 48 min
93,2001: A Space Odyssey,,"$66,368,543",,See more details at IMDbPro
94,The Hunt,,"$15,886,373",See more details at IMDbPro,Drama
95,Reservoir Dogs,"$1,200,000","$2,913,644",Crime Thriller,1 hr 39 min
96,Lawrence of Arabia,,"$45,720,631",,
97,Citizen Kane,,"$1,645,944",,See more details at IMDbPro
98,M,,"$35,566",,
99,Ikiru,,"$2,332,728",,See more details at IMDbPro
100,North by Northwest,,"$144,767",,
